time,tcp.throughput,tcp.latency,tcp.accuracy,ads.throughput,ads.latency,ads.accuracy,udp.throughput,udp.latency,udp.accuracy,app.throughput,app.latency,app.accuracy,mnl.throughput,mnl.latency,mnl.accuracy,jet.throughput,jet.latency,jet.accuracy
340,7173.5675,66992.87417,0.855,6933.2975,283.0441667,0.933333333,8270.70552,25.48996832,0,6502.3475,1420.01,0.7575,7173.0725,3817.965,0.8375,4836.962667,672.9178,0.815633255
345,7172.163333,69291.0125,0.96,6625.89,291.835,0.900833333,7041.03608,25.78494597,0,7020.9525,729.29,0.7825,7172.6475,3856.6525,0.765,6822.288,429.518,0.808915658
350,7172.628333,71604.84583,0.940833333,5758.356667,66.75583333,0.859166667,7888.95784,27.5472051,0,6835.625,868.07,0.7925,7168.89,3778.38,0.82,7180.5072,818.579,0.842523669
355,7173.07,74098.41,0.931666667,6087.665,49.29,0.918333333,8550.40528,25.52882125,0,6797.5,608.5175,0.685,7172.5975,3644.2625,0.765,6014.3376,448.0918,0.840568107
360,7173.180833,76628.885,0.916666667,6627.9975,175.3283333,0.893333333,7026.3164,29.90774228,0,6471.5075,891.2975,0.7575,7173.3925,3704.0475,0.85,6535.890667,426.3944,0.803994468
365,7172.500833,79062.70833,0.900833333,6035.1825,88.13333333,0.851666667,7017.48296,28.18111699,0,6780.1075,844.6875,0.675,7170.685,3866.925,0.8775,7195.223467,663.4336,0.672795775
370,7172.15,80966.94583,0.8825,6043.014167,166.865,0.916666667,7288.53896,22.29836685,0,5560.0625,84.8725,0.6125,7173.7375,3804.8125,0.8325,5822.742933,590.05802,0.798401347
375,7167.529167,83453.7775,0.933333333,6398.638333,169.8858333,0.891666667,5790.038,20.8059239,0,5999.7925,280.945,0.6275,7171.8675,3792.99,0.84,5018.913067,269.69298,0.809381494
380,5034.974167,86490.41167,0.9625,4962.230833,817.0466667,0.866666667,4628.80536,23.88268303,0,4957.1925,1358.815,0.71,5176.65,5071.98,0.84,7156.1424,336.8634,0.775502647
385,4802.1975,89666.20083,0.965,4352.4625,35.675,0.78,5744.91008,23.50593146,0,4796.28,2559.14,0.7075,4812.18,6527.2075,0.75,4743.8448,709.0964,0.803736175
390,4784.264167,93146.21333,0.821666667,3816.993333,254.3191667,0.8425,5886.736,26.97402644,0,4782.96,2710.25,0.78,4784.85,7216.9175,0.7125,4746.692267,770.6134,0.738083519
395,4781.4925,96484.58417,0.919166667,4188.5775,231.8225,0.775,5518.55104,25.82731012,0,4782.3575,2701.9225,0.73,4782.8425,8327.73,0.8025,4759.985067,941.8892,0.76839822
400,4781.449167,99824.16583,0.9325,4504.706667,277.8758333,0.905,5975.48568,20.89321154,0,4773.44,1983.26,0.755,4779.96,9604.8825,0.8,4775.423467,835.1658,0.782452843
405,4782.335,102939.6467,0.909166667,4639.795,458.1808333,0.875,5191.72848,23.21434811,0,4781.12,2402.465,0.655,4782.4475,10560.1575,0.7725,3914.523733,566.7272,0.671553839
410,4781.4125,105846.5075,0.901666667,4054.085,99.0775,0.82,5063.15488,27.66868416,0,4782.7825,2806.0275,0.695,4781.855,11683.1525,0.7425,4677.678933,745.6804,0.786156423
415,4782.099167,108759.0658,0.970833333,4517.000833,172.46,0.918333333,6314.58896,25.68063718,0,4781.9325,2303.5975,0.7275,4781.79,13018.91,0.815,4676.7936,615.0702,0.788176557
420,4781.3225,111676.7142,0.926666667,4732.726667,460.5058333,0.855,4584.08704,25.37798695,0,4755.0125,2208.64,0.7775,4782.6475,14069.735,0.82,4763.0592,762.8024,0.763971761
425,4782.433333,115142.4775,0.9325,4193.731667,134.6075,0.840833333,5462.86128,27.39031174,0,4581.225,2353.2375,0.8075,4708.0125,15263.7325,0.8275,4785.709333,1399,0.792351093
430,4843.4675,118303.7675,0.919166667,3699.396667,163.0133333,0.898333333,8597.24128,28.65377722,0,4728.1725,2942.9225,0.81,4861.7775,16482.6525,0.8525,4727.239467,795.6506,0.787863841
435,5213.790833,121180.7867,0.918333333,4238.033333,110.8241667,0.865,15556.836,28.37817303,0,4778.1075,2624.95,0.8225,4787.4625,17778.95,0.84,4507.021333,684.8142,0.613966411
