bandwidth,width,skip,quant,accuracy
    4.30, 1920,  0, 30, 0.808
    4.38, 1280,  5, 20, 0.746
    4.48,  640,  0, 20, 0.847
    4.59, 1280, 29,  0, 0.383
    4.60,  640,  5, 10, 0.742
    4.73,  320,  0, 10, 0.742
    4.75, 1600,  9, 20, 0.639
    4.94,  640,  9,  0, 0.634
    5.06,  320,  2,  0, 0.722
    5.32, 1920, 14, 20, 0.561
    5.59,  960,  9, 10, 0.632
    5.83,  960, 14,  0, 0.555
    5.90, 1600, 29, 10, 0.382
    6.14, 1280,  2, 20, 0.837
    6.33, 1600,  5, 20, 0.745
    6.63, 1280, 14, 10, 0.562
    6.67, 1600, 29,  0, 0.382
    6.68,  960,  0, 20, 0.887
    6.83, 1920,  9, 20, 0.638
    7.30,  640,  2, 10, 0.823
    7.48, 1920, 29, 10, 0.377
    7.83, 1920, 29,  0, 0.376
    8.17,  640,  5,  0, 0.742
    8.23,  960,  5, 10, 0.740
    8.76,  960,  9,  0, 0.635
    8.79, 1600,  2, 20, 0.836
    8.88, 1280,  9, 10, 0.644
    9.10, 1280, 14,  0, 0.563
    9.19, 1920,  5, 20, 0.750
    9.66, 1600, 14, 10, 0.555
    9.85, 1280,  0, 20, 0.905
   12.85,  960,  2, 10, 0.838
   12.91, 1600,  9, 10, 0.644
   12.96, 1280,  5, 10, 0.748
   13.05, 1920, 14, 10, 0.562
   13.07, 1920,  2, 20, 0.843
   13.18, 1600, 14,  0, 0.560
   13.67, 1280,  9,  0, 0.646
   13.81, 1600,  0, 20, 0.918
   14.54,  320,  0,  0, 0.755
   14.57,  960,  5,  0, 0.747
   14.73,  640,  0, 10, 0.891
   15.67, 1920, 14,  0, 0.562
   16.09,  640,  2,  0, 0.826
   17.79, 1920,  9, 10, 0.647
   18.79, 1600,  5, 10, 0.748
   19.78, 1600,  9,  0, 0.646
   19.99, 1920,  0, 20, 0.924
   20.25, 1280,  2, 10, 0.846
   22.80, 1280,  5,  0, 0.751
   23.63, 1920,  9,  0, 0.648
   24.59,  960,  0, 10, 0.920
   26.31, 1920,  5, 10, 0.756
   28.75,  960,  2,  0, 0.841
   29.41, 1600,  2, 10, 0.852
   33.01, 1600,  5,  0, 0.759
   38.42, 1280,  0, 10, 0.940
   39.71, 1920,  5,  0, 0.759
   41.89, 1920,  2, 10, 0.859
   45.29, 1280,  2,  0, 0.848
   46.47,  640,  0,  0, 0.898
   55.16, 1600,  0, 10, 0.950
   65.72, 1600,  2,  0, 0.857
   77.60, 1920,  0, 10, 0.969
   79.69, 1920,  2,  0, 0.865
   81.08,  960,  0,  0, 0.929
  131.71, 1280,  0,  0, 0.952
  192.56, 1600,  0,  0, 0.965
  234.21, 1920,  0,  0, 1.000
