bandwidth,width,skip,quant,accuracy
   10.29, 1600, 14, 10, 0.803
   10.56, 1600,  0, 20, 0.843
   11.65, 1920,  2, 20, 0.898
   12.17,  960,  2, 10, 0.686
   12.70,  640,  0, 10, 0.106
   13.08, 1280,  5, 10, 0.813
   13.61, 1920, 14, 10, 0.848
   13.77, 1600,  9, 10, 0.818
   14.35, 1600, 14,  0, 0.800
   14.89, 1280,  9,  0, 0.807
   15.32,  960,  5,  0, 0.686
   16.13, 1920,  0, 20, 0.897
   16.31,  640,  2,  0, 0.108
   17.20, 1920, 14,  0, 0.851
   18.35, 1920,  9, 10, 0.869
   19.01, 1600,  5, 10, 0.833
   20.94, 1280,  2, 10, 0.829
   21.54, 1600,  9,  0, 0.817
   21.56,  960,  0, 10, 0.685
   24.55, 1280,  5,  0, 0.814
   25.54, 1920,  5, 10, 0.891
   25.87, 1920,  9,  0, 0.871
   29.81,  960,  2,  0, 0.692
   30.34, 1600,  2, 10, 0.848
   35.49, 1600,  5,  0, 0.833
   36.62, 1280,  0, 10, 0.833
   41.16, 1920,  2, 10, 0.919
   42.43,  640,  0,  0, 0.109
   42.49, 1920,  5,  0, 0.894
   48.30, 1280,  2,  0, 0.828
   52.64, 1600,  0, 10, 0.860
   70.10, 1600,  2,  0, 0.849
   72.32, 1920,  0, 10, 0.949
   80.08,  960,  0,  0, 0.694
   83.67, 1920,  2,  0, 0.932
  135.16, 1280,  0,  0, 0.838
  198.94, 1600,  0,  0, 0.864
  231.14, 1920,  0,  0, 1.000
