"time","js.latency","js.accuracy","js.throughput","jet.latency","jet.accuracy","jet.throughput","aws.latency","aws.throughput","aws.accuracy","tcp.latency","tcp.throughput","tcp.accuracy"
42,44.4556,0.951008646,14.09062667,41.3187,0.951008646,12.62211467,38.1743333333333,14.4804453333333,0.907,44.8113333333333,13.75616,0.907
43,43.6333,0.96875,12.4026,40.7528,0.96875,12.446512,38.889,16.329784,0.8485,46.4333333333333,15.5926053333333,0.8485
44,43.6629,0.971608833,12.725456,40.809,0.971608833,13.035344,39.7173333333333,15.8864746666667,0.8306,48.233,16.1371306666667,0.8306
45,43.7889,0.958448754,12.97836533,40.6111,0.958448754,12.719032,41.0056666666667,14.3508693333333,0.9177,46.743,15.028088,0.9177
46,43.9111,0.926267281,12.967736,40.9438,0.926267281,14.01831467,39.3,12.8819226666667,0.9658,44.281,13.4647413333333,0.9658
47,44.6444,0.919282511,14.39754133,41.7778,0.919282511,14.024312,38.2196666666667,12.441552,0.9675,43.2903333333333,12.629984,0.9697
48,43.8333,0.96373057,13.845848,41.4444,0.96373057,14.11570133,38.0356666666667,13.9777226666667,0.9811,43.974,13.2879413333333,0.9787
49,44.8222,0.902723735,14.41353867,41.8202,0.902723735,13.47304267,37.3043333333333,12.4554133333333,0.9442,43.6836666666667,12.8599306666667,0.9442
50,43.7143,0.930875576,13.33164,41.1461,0.930875576,14.33174133,38.3,14.439736,0.9133,44.2886666666667,13.6948533333333,0.9133
51,46.2222,0.916408669,14.727208,42.4505,0.916408669,15.10249333,38.411,14.09,0.9459,45.2033333333333,14.542208,0.9459
52,45.2308,0.901840491,15.351048,41.6333,0.901840491,14.41720267,38.0943333333333,14.0983493333333,0.9235,44.7333333333333,13.8634773333333,0.9245
53,45.1348,0.909090909,14.534448,40.8182,0.909090909,13.523048,37.946,13.5068453333333,0.9259,44.676,13.864008,0.9244
54,43.6889,0.892561984,12.853832,40.1,0.892561984,11.81442933,39.284,14.1781813333333,0.9247,45.829,14.1144026666667,0.9247
55,42.9663,0.915384615,11.427392,38.0787,0.915384615,10.67229333,39.2183333333333,16.0892693333333,0.9053,46.2113333333333,15.1547386666667,0.9053
56,42.3667,0.818181818,10.25816267,38.7222,0.818181818,11.27989333,38.1556666666667,14.1993706666667,0.9213,45.8556666666667,14.71112,0.9213
57,43.6556,0.881118881,11.964312,39.1011,0.881118881,14.39459733,38.0996666666667,14.189624,0.8746,44.9556666666667,14.162352,0.878
58,45.8556,0.919786096,15.54564533,41.3556,0.919786096,14.41898667,37.4296666666667,12.089672,0.9167,44.043,13.0741786666667,0.9117
59,44.3,0.941176471,14.14796533,40.6292,0.941176471,12.76537333,36.6333333333333,10.444976,0.8795,42.3846666666667,11.0683866666667,0.8795
60,42.6333,0.933333333,12.00230667,39.1,0.933333333,12.13018133,36.9856666666667,11.31708,0.8516,42.0526666666667,11.0599306666667,0.8514
61,44.764,0.970238095,12.32327467,41.3483,0.970238095,12.208488,38.507,15.55728,0.9222,44.1316666666667,13.9412026666667,0.9195
62,44.1429,0.975,12.44389333,41.8652,0.975,13.05398667,38.2616666666667,14.196248,0.9282,45.5666666666667,14.435976,0.931
63,43.7444,0.962121212,13.39480533,41.1556,0.962121212,13.24512,37.6113333333333,12.928176,0.9392,44.2333333333333,13.2606373333333,0.9343
64,44.3708,0.88209607,13.24969867,41.0899,0.88209607,15.60677333,37.7223333333333,12.245896,0.9479,44.864,12.8334506666667,0.9499
