"time","js.latency","js.accuracy","js.throughput","jet.latency","jet.accuracy","jet.throughput","aws.latency","aws.throughput","aws.accuracy","tcp.latency","tcp.throughput","tcp.accuracy","udp.throughput","udp.latency","udp.accuracy"
36,46.4944,0.880886427,13.43866133,52.7111,0.916275955,12.23602133,60.206,10.042504,0.9224,71.4,12.5849093333333,0.9054,13894.25224,33,0.871855038
37,46.5556,0.858099063,13.572688,53.2333,0.867875648,12.35369867,61.1556666666667,9.83782133333333,0.9549,72.3,12.75664,0.926,13894.25224,33,0.871855038
38,46.4778,0.817039106,13.38275733,58.7667,0.861863847,13.55429333,62.8333333333333,9.941816,0.9272,72.4,12.7733653333333,0.9063,13894.25224,33,0.871855038
39,46.2444,0.837662338,13.15350667,52.1444,0.89059501,12.06179733,74.5776666666667,10.0218506666667,0.9434,71.797,13.0904266666667,0.938,13894.25224,33,0.871855038
40,46.0562,0.856562923,13.32417867,51.7333,0.857877814,12.214016,58.2406666666667,10.5346133333333,0.8961,71.015,12.907784,0.8994,13582.7316,33,0.879714172
41,49.9556,0.852830189,14.15332,51.6444,0.873873874,12.049728,55.0556666666667,10.7207866666667,0.912,70.9243333333333,12.88988,0.9134,13582.7316,33,0.879714172
42,46.3222,0.84496124,12.86403467,51.2444,0.895799236,12.19685867,53.1556666666667,10.5881706666667,0.8898,70.1666666666667,12.31792,0.8898,13582.7316,33,0.879714172
43,46.2556,0.806004619,13.06296,53.5444,0.893271462,12.33563733,45.3,11.2976373333333,0.9249,72.8666666666667,12.6953386666667,0.9249,13582.7316,33,0.879714172
44,46.3444,0.831139096,12.889528,52.8778,0.885361552,12.42033067,46.9666666666667,12.779544,0.9154,76.1666666666667,13.124432,0.9154,13582.7316,33,0.879714172
45,46.4945,0.826285714,13.22287467,54.6556,0.883131837,12.35394133,39,11.0112186666667,0.9267,69.3666666666667,12.1653946666667,0.9267,13789.50992,33,0.898798906
46,46.1573,0.85884455,13.05965067,52.3034,0.910938434,12.83700267,40.3333333333333,12.0016293333333,0.9135,69.2,12.122696,0.9133,13789.50992,33,0.898798906
47,46.7582,0.850718301,13.56429067,54.6556,0.878655881,12.00135733,40.4223333333333,11.8100986666667,0.9214,69.4333333333333,12.1086213333333,0.925,13789.50992,33,0.898798906
