"time","tcp.throughput","tcp.latency","tcp.accuracy","aws.throughput","aws.latency","aws.accuracy","udp.throughput","udp.latency","udp.accuracy"
250,956.54,11132.2175,0.98078231292517,837.9875,180.3725,0.980442176870748,1046.4325,24.825,0.588095238095238
255,955.6825,12356.9225,0.997448979591837,848.6725,453.6125,0.974829931972789,974.0425,24.855,0.49234693877551
260,956.3725,13497.495,0.982142857142857,929.495,1212.55,0.970578231292517,1032.055,24.83,0.596598639455782
265,956.2925,14408.4925,0.998809523809524,954.035,1561.75,0.997278911564626,1043.175,24.7675,0.557312925170068
270,955.6075,15646.615,0.997619047619048,954.525,1908.9525,0.995748299319728,945.7925,24.75,0.52108843537415
275,955.88,16925.42,0.989115646258503,933.5225,2170.6425,0.986054421768708,778.7675,24.785,0.331802721088435
280,956.15,18146.6775,0.998469387755102,851.375,1128.995,0.989115646258503,1041.7125,24.8525,0.54812925170068
285,957.0325,19368.6275,0.999149659863945,845.7025,724.755,0.988945578231293,1003.7775,24.92,0.65765306122449
290,956.6775,20520.075,0.98265306122449,876.21,1445.59,0.987755102040816,992.56,24.935,0.726190476190476
295,955.93,21508.23,0.997108843537415,885.615,1483.3625,0.964455782312925,987.69,24.89,0.400170068027211
300,956.0075,22072.765,0.988775510204082,903.6425,996.68,0.968027210884354,999.7,24.875,0.535204081632653
305,956.85,22972.675,0.997789115646259,853.94,585.54,0.987074829931973,1030.785,24.925,0.475680272108844
310,955.2375,24173.94,0.989965986394558,850.0475,350.135,0.955272108843537,978.545,22.6425,0.10969387755102
315,956.6825,25389.5875,0.996598639455782,870.435,859.3025,0.958673469387755,1088.5575,22.37,0.623469387755102
320,955.7375,26536.585,0.981122448979592,930.6225,1060.8675,0.976360544217687,1033.6675,22.285,0.748979591836735
325,956.475,27531.23,0.989455782312925,936.6525,591.1375,0.978401360544218,966.6025,22.31,0.616326530612245
330,956.7725,28745.8325,0.99030612244898,895.115,465.555,0.979081632653061,1024.295,22.46,0.436224489795918
335,956.5425,29967.35,0.998809523809524,894.685,1106,0.997619047619048,1010.4075,22.415,0.528231292517007
340,955.5475,31195.045,0.989285714285714,928.895,1543.565,0.986734693877551,1010.4975,22.375,0.278231292517007
345,956.1575,32411.2775,0.988605442176871,950.3075,2505.7625,0.985884353741496,760.895,22.61,0.686394557823129
350,956.0175,33551.7475,0.998469387755102,950.095,1828.94,0.988775510204082,1049.1675,22.4625,0.543877551020408
355,956.25,34552.015,0.991156462585034,884.9775,543.665,0.980612244897959,1019.4825,22.425,0.679761904761905
360,956.4775,35769.9175,0.990476190476191,804.7175,731.2425,0.979591836734694,1043.5825,22.3225,0.427380952380952
365,956.0975,36987.3475,0.997108843537415,869.325,825.5175,0.963775510204082,1066.4025,22.355,0.533333333333333
370,956.525,38212.1825,0.996768707482993,840.34,325.3025,0.97687074829932,1049.42,22.38,0.60952380952381
375,955.71,39433.915,0.997448979591837,814.525,896.2125,0.978401360544218,930.03,22.3125,0.499659863945578
380,750.8925,40822.4025,0.989965986394558,732.8875,1598.7175,0.952891156462585,782.36,22.265,0.56734693877551
385,720.0525,42705.84,0.996428571428572,718.5075,2145.7575,0.977551020408163,770.3475,22.3525,0.425
390,717.0275,44518.2425,0.980612244897959,715.7925,2139.335,0.973809523809524,753.885,22.41,0.487074829931973
395,717.35,46092.995,0.989285714285714,659.1175,1294.4925,0.976190476190476,722.365,22.38,0.122619047619048
400,718.3325,48023.6375,0.99047619047619,630.69,1434.205,0.976360544217687,769.0625,22.1775,0.279421768707483
405,717.275,50177.29,0.998299319727891,670.0375,1009.9075,0.986224489795918,746.105,22.2325,0.218027210884354
410,717.105,52383.7175,0.988775510204082,647.69,1400.12,0.984863945578231,741.6075,22.2475,0.427891156462585
415,715.9125,54130.9125,0.989285714285714,670.3975,1395.2125,0.96547619047619,559.9475,22.3775,0.304421768707483
420,716.785,56524.7425,0.998639455782313,677.2125,532.7675,0.986054421768708,809.255,22.14,0.175680272108844
425,716.995,58649.655,0.983333333333333,643.1575,791.4125,0.979081632653061,797.61,22.1025,0.268367346938776
430,717.4525,60522.8375,0.998469387755102,657.3725,1381.8025,0.986734693877551,739.2,22.025,0.232482993197279
435,716.96,62751.0975,0.996428571428572,667.79,1579.685,0.959353741496599,804.2425,21.965,0.28265306122449
440,2204.3725,61166.4225,0.989285714285714,890.15,167.3175,0.959353741496599,867.9175,22.305,0.292006802721088
445,2376.3925,56771.525,0.989285714285714,816.325,53.79,0.960034013605442,1071.4375,22.33,0.315646258503401
450,2389.9375,52112.395,0.997448979591837,854.6275,54.7025,0.945068027210884,1104.385,22.4325,0.469727891156463
455,2391.145,47691.7675,0.997108843537415,932.985,82.075,0.966496598639456,1264.175,22.385,0.52891156462585
460,2391.0775,42061.2275,0.980442176870748,1003.045,55.28,0.982823129251701,1188.3,22.295,0.455272108843537
465,2391.1725,37493.005,0.981802721088435,936.71,74.99,0.978231292517007,1210.285,22.3275,0.723979591836735
470,2391.4975,32832.7475,0.998469387755102,1050.64,82.625,0.987585034013605,1126.0925,22.2575,0.695748299319728
475,2391.3475,28173.4275,0.998809523809524,1054.025,45.645,0.99608843537415,1274.0425,22.1725,0.742517006802721
480,2391.5075,23749.4125,0.980272108843537,1101.8725,45.5575,0.979251700680272,1312.305,22.1125,0.736224489795918
485,2391.4,19119.1025,0.997789115646258,1327.885,140.71,0.98843537414966,957.0425,22.33,0.918537414965986
490,2390.6825,14672.2375,0.998979591836735,1231.3675,68.715,0.997959183673469,1327.74,22.2725,0.999149659863945
495,2390.315,9313.4125,0.982993197278912,1217.73,44.6125,0.990816326530612,1372.0425,22.055,0.982823129251701
500,2391.3775,4472.5675,0.996938775510204,1254.27,40.625,0.988095238095238,1368.05,22.09,0.997108843537415
505,2183.76,438.085,0.997619047619048,1257.74,40.255,0.997448979591837,1209.9975,22.18,0.997108843537415
510,1335.885,71.1175,0.989795918367347,1258.7825,40.265,0.989455782312925,1309.91,22.015,0.989455782312925
515,1264.98,42.42,0.980952380952381,1257.845,40.25,0.98078231292517,1291.2675,22.24,0.989285714285714
520,1258.59,39.98,0.996938775510204,1257.8675,40.25,0.996768707482993,1323.94,22.185,0.997448979591837
525,1259.0725,39.815,0.989115646258503,1258.4375,40.485,0.989285714285714,1325.78,22.1225,0.989625850340136
530,1258.27,39.755,0.988775510204082,1257.9775,40.28,0.988605442176871,1309.425,22.045,0.988775510204082
535,1228.785,39.81,0.981972789115646,1259.255,40.25,0.981802721088435,1329.64,22.1025,0.981972789115646
