time,js.latency,js.accuracy,js.throughput,jet.latency,jet.accuracy,jet.throughput
5,45.1573,0.858784893,11.04639733,48.6818,0.851098454,11.505248
6,45.5824,0.877850163,11.24853067,51.0899,0.88503937,10.72097867
7,44.6136,0.873239437,10.742896,50.0769,0.88923802,11.81689067
8,45.6778,0.899653979,11.34081067,56.8556,0.906144497,13.00660533
9,45.4348,0.882468812,11.79554667,51.9545,0.900831734,11.08413333
10,45.8427,0.854689564,11.79236,50.9451,0.897160883,11.79164267
11,48.0674,0.877537656,12.61498933,51.4157,0.877642537,11.83432267
12,45.9333,0.877300614,12.188296,50.0333,0.90157251,11.79466133
13,45.9444,0.858858859,12.54469333,52.3333,0.902411022,12.28351733
14,46.0889,0.87144623,12.60407733,52.2637,0.889957907,12.65653867
15,46.4556,0.856608479,12.49790667,52.6067,0.873703478,12.74738667
16,46.1648,0.875,13.260024,52.2556,0.886322188,12.91354133
17,46.5111,0.876136364,13.42326133,54.5,0.911877395,13.049384
18,46.5,0.847926267,13.53165333,58.7444,0.912493121,14.13277867
19,46.8778,0.857475276,13.82277867,53.9556,0.891032917,13.09873067
20,46.967,0.867420349,13.94488,53.3678,0.878695209,12.3016
21,49.6,0.874511991,14.57114667,53.7363,0.908008658,12.67317333
22,46.1222,0.904205608,13.644896,53.8889,0.910857143,12.85329867
23,46.4889,0.827244582,13.51173333,52.0111,0.834017595,12.69088533
24,46.8022,0.825766871,13.97366933,52.7033,0.845508982,12.714568
25,46.7865,0.827629911,13.82286133,53.4831,0.867995019,12.708096
26,46.7444,0.843559978,13.67939733,52.7444,0.886620097,13.31381867
27,46.3667,0.85535248,13.82898133,53.1556,0.878757515,13.54984533
28,47.1111,0.865060241,13.84197067,61.1011,0.874853801,13.961448
29,47.3333,0.864898211,13.63859467,52.9889,0.888358209,12.505072
30,47.2667,0.845002992,13.76993867,52.9341,0.846420323,12.64822133
31,49.8667,0.888231816,14.603472,53.2778,0.888382688,12.782032
32,46.3556,0.844267727,13.48850133,53.1136,0.880606444,12.81697867
33,46.6111,0.866152768,13.68146667,53.011,0.886639676,12.59152
34,47.1818,0.852525253,13.602016,52.9205,0.8828125,12.11760267
35,47.1538,0.846446701,14.010928,52.978,0.910216718,12.47841067
36,46.4944,0.880886427,13.43866133,52.7111,0.916275955,12.23602133
37,46.5556,0.858099063,13.572688,53.2333,0.867875648,12.35369867
38,46.4778,0.817039106,13.38275733,58.7667,0.861863847,13.55429333
39,46.2444,0.837662338,13.15350667,52.1444,0.89059501,12.06179733
40,46.0562,0.856562923,13.32417867,51.7333,0.857877814,12.214016
41,49.9556,0.852830189,14.15332,51.6444,0.873873874,12.049728
42,46.3222,0.84496124,12.86403467,51.2444,0.895799236,12.19685867
43,46.2556,0.806004619,13.06296,53.5444,0.893271462,12.33563733
44,46.3444,0.831139096,12.889528,52.8778,0.885361552,12.42033067
45,46.4945,0.826285714,13.22287467,54.6556,0.883131837,12.35394133
46,46.1573,0.85884455,13.05965067,52.3034,0.910938434,12.83700267
47,46.7582,0.850718301,13.56429067,54.6556,0.878655881,12.00135733
48,46.3596,0.806671721,12.96907733,56.0889,0.848351648,12.747392
49,46.6703,0.865177833,13.66292533,52.0444,0.859594384,12.022848
50,46.0333,0.87431694,12.46881333,48.5111,0.885159011,11.34508533
51,49.2333,0.893280632,13.586848,49.5444,0.91048202,11.62423733
52,45.9556,0.846921797,12.40785067,52.3222,0.882123341,12.39567467
53,46.1236,0.848920863,11.515424,51.2667,0.853195164,12.02729067
54,45.5778,0.898431049,11.27074667,51.8667,0.934306569,12.11468533
55,44.8222,0.858784893,11.161792,52.7,0.851098454,11.90630133
56,45.1429,0.877850163,11.25448267,51.8111,0.88503937,11.139688
57,45.5056,0.873239437,10.87002133,51.0444,0.88923802,11.417264
58,45.3667,0.899653979,11.32708,57.4556,0.906144497,13.001912
59,45.8667,0.882468812,11.52050133,50.4886,0.900831734,11.07037867
60,46.4222,0.854689564,11.942808,52.2308,0.897160883,12.13304533
61,48.3,0.877537656,12.74294667,52.8778,0.877642537,11.841176
62,45.9326,0.877300614,12.04790133,50.8889,0.90157251,11.80155467
63,46.1648,0.858858859,12.67397067,50.6593,0.902411022,12.649896
64,46.2778,0.87144623,12.60015733,52.9674,0.889957907,12.65201067
65,46.1556,0.856608479,12.508352,51.4773,0.873703478,12.32481067
66,46.0778,0.875,13.09445067,53.3444,0.886322188,12.89274933
67,46.4,0.876136364,13.41262667,53.5761,0.911877395,13.45934667
68,46.3111,0.847926267,13.536768,58.2889,0.912493121,14.17216
69,47.1111,0.857475276,13.81847467,51.3667,0.891032917,13.091688
70,46.8556,0.867420349,13.76746133,53.1236,0.878695209,12.764408
71,49.6556,0.874511991,14.60658667,51,0.908008658,12.68308267
72,46.7889,0.904205608,13.634608,51.4556,0.910857143,12.83709067
73,46.4778,0.827244582,13.52563467,53.5056,0.834017595,12.687912
74,46.6,0.825766871,13.802752,52.4348,0.845508982,12.713672
75,47.2556,0.827629911,13.97457867,52.2472,0.867995019,12.74692
76,46.3736,0.843559978,13.84544533,52.7363,0.886620097,13.271408
77,46.6477,0.85535248,13.505928,52.6667,0.878757515,13.487576
78,47.2967,0.865060241,14.00939733,59.5333,0.874853801,14.03183733
79,47.0667,0.864898211,13.65562933,52.3556,0.888358209,12.51411467
80,47.1444,0.845002992,13.72833333,51.5667,0.846420323,12.620104
81,50.0556,0.888231816,14.62481867,54.6207,0.888382688,12.403664
82,46.4333,0.844267727,13.49734667,53.967,0.880606444,12.77026133
83,46.4556,0.866152768,13.675336,78.3214,0.886639676,11.74671467
84,47.0879,0.852525253,14.052176,71.5521,0.8828125,13.39708267
85,47.0222,0.846446701,13.853568,54.4556,0.910216718,12.46571467
86,46.4831,0.880886427,13.45289333,51.5222,0.916275955,12.26147467
87,46.7363,0.858099063,13.719896,52.7222,0.867875648,12.34519467
88,46.3111,0.817039106,13.37919733,58.9556,0.861863847,13.56901333
89,46.6854,0.837662338,13.01682667,54.8778,0.89059501,12.05327467
90,46.3,0.856562923,13.45912267,50.9667,0.857877814,12.17788267
91,49.5955,0.852830189,14.008016,54.8876,0.873873874,12.090824
92,46.2778,0.84496124,12.875048,52.1,0.895799236,12.18181067
93,46.3111,0.806004619,13.04684267,52.3222,0.893271462,12.345144
94,46.4222,0.831139096,12.90890133,65.8861,0.885361552,10.75494933
95,46.2111,0.826285714,13.06587467,206.577,0.883131837,10.68060533
96,46.3667,0.85884455,13.20004267,162.712,0.910938434,13.63870133
97,46.4667,0.850718301,13.413528,54.3333,0.878655881,12.15154667
98,46.1444,0.806671721,13.11131467,54.7333,0.848351648,12.88128
99,46.7667,0.865177833,13.55897333,51.0333,0.859594384,11.844416
100,45.6667,0.87431694,12.46927467,48.5111,0.885159011,11.47594667
101,48.5,0.893280632,13.542008,50.2111,0.91048202,11.71829067
102,46.3222,0.846921797,12.45951467,50.8889,0.882123341,12.16866933
103,45.9889,0.848920863,11.64290667,51.3956,0.853195164,12.49765867
104,45.1798,0.898431049,11.154112,50.7889,0.934306569,12.06720267
105,45.022,0.858784893,11.28391733,50.6444,0.851098454,11.84766933
106,45.0899,0.877850163,11.01761333,51.7614,0.88503937,10.86566933
107,45.2667,0.873239437,10.99412,51.4222,0.88923802,11.463176
108,45.4222,0.899653979,11.30052,54.2556,0.906144497,12.47626667
109,45.2418,0.882468812,11.66469867,52.0659,0.900831734,12.357856
110,45.6742,0.854689564,11.81004533,49.7912,0.897160883,11.745496
111,48.3804,0.877537656,12.995536,52.1868,0.877642537,11.827056
112,45.6889,0.877300614,12.182008,50.8222,0.90157251,11.82064533
113,46,0.858858859,12.53648267,51.5333,0.902411022,12.26056
114,46.1818,0.87144623,12.316296,88.2841,0.889957907,12.14092
115,46.1333,0.856608479,12.52162933,84.0444,0.873703478,12.75891467
116,46.1111,0.875,13.06324267,52.4333,0.886322188,12.87634133
117,46.5667,0.876136364,13.42016533,52.0114,0.911877395,12.56025333
118,46.5556,0.847926267,13.517848,56.9674,0.912493121,14.27562133
119,46.7033,0.857475276,13.973904,54.8791,0.891032917,13.45146667
120,47.2022,0.867420349,13.63601867,53.7978,0.878695209,12.78307467
121,49.3587,0.874511991,14.90869067,51.5934,0.908008658,12.69470133
122,46.3667,0.904205608,13.626416,53.3409,0.910857143,12.79722933
123,46.7,0.827244582,13.53657067,52.9674,0.834017595,12.70329333
124,46.7889,0.825766871,13.79252533,53.1011,0.845508982,12.72268533
125,47.1,0.827629911,13.97175467,52.1099,0.867995019,12.76833067
126,47.1461,0.843559978,13.542808,52.1889,0.886620097,13.202272
127,46.6,0.85535248,13.803384,52.9425,0.878757515,12.965496
128,47.0667,0.865060241,13.839808,57.1183,0.874853801,14.19220533
129,47,0.864898211,13.66818667,54.4157,0.888358209,12.95094667
130,46.9444,0.845002992,13.72381867,51.9444,0.846420323,12.61223467
131,49.7333,0.888231816,14.631504,52.2778,0.888382688,12.77414133
132,46.3778,0.844267727,13.50581867,51.0111,0.880606444,12.80666933
133,46.5778,0.866152768,13.689432,53.4,0.886639676,12.60325067
134,46.8333,0.852525253,13.865152,50.6111,0.8828125,12.545824
135,47.3,0.846446701,13.870096,52.6444,0.910216718,12.45421867
136,46.6222,0.880886427,13.60294667,52.4111,0.916275955,12.27407733
137,46.4667,0.858099063,13.56171733,54.4444,0.867875648,12.89216533
138,46.7,0.817039106,13.40952267,54.1222,0.861863847,12.57862133
139,46.2889,0.837662338,13.160008,53.1444,0.89059501,12.51006667
140,46.0556,0.856562923,13.45065333,51.7333,0.857877814,12.16101333
141,48.8571,0.852830189,14.302464,52.0111,0.873873874,12.10941867
142,45.7,0.84496124,12.875496,52.7778,0.895799236,12.17409867
143,45.8667,0.806004619,13.05337867,52.2778,0.893271462,12.34072533
144,45.9778,0.831139096,12.90547733,53.5682,0.885361552,12.00474133
145,46.2,0.826285714,13.07730667,50.8444,0.883131837,12.372312
146,46.1556,0.85884455,13.20469067,51.7143,0.910938434,13.04891467
147,46.3667,0.850718301,13.395792,51.8111,0.878655881,12.47854933
148,45.8876,0.806671721,12.994312,53.6778,0.848351648,12.25117333
149,47.2198,0.865177833,13.69859733,52.7,0.859594384,12.093672
150,45.9773,0.87431694,12.160912,52.5111,0.885159011,11.53794133
151,48.4891,0.893280632,13.84094933,51.0879,0.91048202,11.77051467
152,45.5114,0.846921797,12.20309067,50.4333,0.882123341,12.07436
153,45.4565,0.848920863,11.89002133,50.8556,0.853195164,12.18601067
154,44.9778,0.898431049,11.28758133,51.2921,0.934306569,11.994064
155,44.0568,0.858784893,10.91731467,50.3736,0.851098454,11.852488
156,45.022,0.877850163,11.25550667,49.4333,0.88503937,11.36600533
157,44.8427,0.873239437,10.879448,51.7889,0.88923802,11.87286133
158,45.4,0.899653979,11.29810133,52.0333,0.906144497,11.92968
159,45.0333,0.882468812,11.563,52.0222,0.900831734,12.02553867
