hls.throughput,hls.accuracy,hls.latency
6199.488,0.5797101449,2911
6253.632,0.04134929271,2946
3430.624,0.04935622318,2485
3484.768,0.06986899563,2523
3496.8,0.0303030303,2545
3477.248,0,2570
3593.056,0.01146788991,2611
3430.624,0.041013269,2612
3460.704,0.02195121951,2642
3481.76,0.002541296061,2671
3484.768,0.01102535832,2697
3460.704,0.01040582726,2722
3499.808,0.03345280765,2749
3490.784,0.07511737089,2774
3572,0.09662921348,2811
3659.232,0.1064552661,2847
3626.144,0.07052896725,2867
3522.368,0.07397622193,2885
3423.104,0.1008610086,2909
3520.864,0.08941176471,2943
3535.904,0.07741935484,2467
3553.952,0.08142493639,2002
3516.352,0.0522875817,2007
3469.728,0.06829268293,2027
3400.544,0.0518134715,2040
3420.096,0.049200492,2067
3331.36,0.04550379198,2080
3359.936,0.01177856302,2110
3379.488,0.06004618938,2134
3421.6,0.01187648456,2165
3362.944,0.05673758865,2184
3326.848,0.05217391304,2201
3426.112,0.09956076135,2239
3403.552,0.09436834094,2261
3588.544,0.1287128713,2313
3132.832,0.04287901991,2273
3325.344,0,2324
3188.48,0.06371681416,2328
3018.528,0.06677265501,2328
2905.728,0.1327160494,2338
2853.088,0.1303030303,2354
2871.136,0.1165644172,2380
2786.912,0.03814713896,2394
2902.72,0.05095541401,2434
2926.784,0.07960199005,2460
2982.432,0.08805031447,2496
3105.76,0.1148648649,2534
3173.44,0.08491620112,2571
3259.168,0.04076738609,2608
3296.768,0.09345794393,2634
3290.752,0.05734767025,2661
3426.112,0.04134929271,2703
3430.624,0.04935622318,2731
3484.768,0.06986899563,2763
3496.8,0.0303030303,2791
3477.248,0,2811
3593.056,0.01146788991,2852
3430.624,0.041013269,2853
3460.704,0.02195121951,2883
3481.76,0.002541296061,2911
3484.768,0.01102535832,2934
3460.704,0.01040582726,2450
3499.808,0.03345280765,1985
3490.784,0.07511737089,2001
3572,0.09662921348,2041
3659.232,0.1064552661,2078
3626.144,0.07052896725,2098
3522.368,0.07397622193,2108
3423.104,0.1008610086,2121
3520.864,0.08941176471,2157
3535.904,0.07741935484,2185
3553.952,0.08142493639,2214
3516.352,0.0522875817,2232
3469.728,0.06829268293,2249
3400.544,0.0518134715,2269
3420.096,0.049200492,2293
3331.36,0.04550379198,2306
3359.936,0.01177856302,2338
3379.488,0.06004618938,2363
3421.6,0.01187648456,2396
3362.944,0.05673758865,2413
3326.848,0.05217391304,2433
3426.112,0.09956076135,2474
3403.552,0.09436834094,2492
3588.544,0.1287128713,2548
3132.832,0.04287901991,2509
3325.344,0,2556
3188.48,0.06371681416,2560
3018.528,0.06677265501,2591
2905.728,0.1327160494,2570
2853.088,0.1303030303,2589
2871.136,0.1165644172,2617
2786.912,0.03814713896,2629
2902.72,0.05095541401,2668
2926.784,0.07960199005,2696
2982.432,0.08805031447,2731
3105.76,0.1148648649,2774
3173.44,0.08491620112,2808
3259.168,0.04076738609,2846
3296.768,0.09345794393,2890
3290.752,0.05734767025,2913
3426.112,0.04134929271,2422
3430.624,0.04935622318,1964
3484.768,0.06986899563,2006
3496.8,0.0303030303,2025
3477.248,0,2045
3593.056,0.01146788991,2086
3430.624,0.041013269,2091
3460.704,0.02195121951,2117
3481.76,0.002541296061,2146
3484.768,0.01102535832,2175
3460.704,0.01040582726,2192
3499.808,0.03345280765,2223
3490.784,0.07511737089,2247
3572,0.09662921348,2283
3659.232,0.1064552661,2319
3626.144,0.07052896725,2338
3522.368,0.07397622193,2348
3423.104,0.1008610086,2361
3520.864,0.08941176471,2398
3535.904,0.07741935484,2426
3553.952,0.08142493639,2452
3516.352,0.0522875817,2471
3469.728,0.06829268293,2492
3400.544,0.0518134715,2506
3420.096,0.049200492,2534
3331.36,0.04550379198,2546
3359.936,0.01177856302,2573
3379.488,0.06004618938,2600
3421.6,0.01187648456,2634
3362.944,0.05673758865,2650
3326.848,0.05217391304,2671
3426.112,0.09956076135,2706
3403.552,0.09436834094,2732
3588.544,0.1287128713,2783
3132.832,0.04287901991,2741
3325.344,0,2796
3188.48,0.06371681416,2801
3018.528,0.06677265501,2819
2905.728,0.1327160494,2841
2853.088,0.1303030303,2872
2871.136,0.1165644172,2305
2786.912,0.03814713896,1887
2902.72,0.05095541401,1928
2926.784,0.07960199005,1954
2982.432,0.08805031447,1991
3105.76,0.1148648649,2029
3173.44,0.08491620112,2063
3259.168,0.04076738609,2101
3296.768,0.09345794393,2130
3290.752,0.05734767025,2155
3426.112,0.04134929271,2198
3430.624,0.04935622318,2222
3484.768,0.06986899563,2254
3496.8,0.0303030303,2282
3477.248,0,2304
3593.056,0.01146788991,2345
3430.624,0.041013269,2346
3460.704,0.02195121951,2376
3481.76,0.002541296061,2403
3484.768,0.01102535832,2427
3460.704,0.01040582726,2449
3499.808,0.03345280765,2479
3490.784,0.07511737089,2503
3572,0.09662921348,2678
3659.232,0.1064552661,2832
3626.144,0.07052896725,2849
3522.368,0.07397622193,2853
3423.104,0.1008610086,2854
3520.864,0.08941176471,2899
3535.904,0.07741935484,2927
3553.952,0.08142493639,2957
3516.352,0.0522875817,2972
3469.728,0.06829268293,2987
3400.544,0.0518134715,2995
3420.096,0.049200492,3026
3331.36,0.04550379198,3034
3359.936,0.01177856302,3064
3379.488,0.06004618938,3097
3421.6,0.01187648456,3124
3362.944,0.05673758865,3138
3326.848,0.05217391304,3153
3426.112,0.09956076135,2899
3403.552,0.09436834094,2656
3588.544,0.1287128713,2716
3132.832,0.04287901991,2645
3325.344,0,2711
3188.48,0.06371681416,2705
3018.528,0.06677265501,2695
2905.728,0.1327160494,2694
2853.088,0.1303030303,2710
2871.136,0.1165644172,2742
2786.912,0.03814713896,2750
2902.72,0.05095541401,2798
2926.784,0.07960199005,2833
2982.432,0.08805031447,2866
3105.76,0.1148648649,2919
3173.44,0.08491620112,2961
3259.168,0.04076738609,3002
3296.768,0.09345794393,3043
3290.752,0.05734767025,3059
3426.112,0.04134929271,3115
3430.624,0.04935622318,3153
3484.768,0.06986899563,3197
3496.8,0.0303030303,2965
3477.248,0,2726
3593.056,0.01146788991,2768
3430.624,0.041013269,2758
3460.704,0.02195121951,2793
3481.76,0.002541296061,2819
3484.768,0.01102535832,2851
3460.704,0.01040582726,2870
3499.808,0.03345280765,2900
3490.784,0.07511737089,2928
3572,0.09662921348,2973
3659.232,0.1064552661,3013
3626.144,0.07052896725,3031
3522.368,0.07397622193,3039
3423.104,0.1008610086,3041
3520.864,0.08941176471,3089
3535.904,0.07741935484,3130
3553.952,0.08142493639,3154
3516.352,0.0522875817,3196
3469.728,0.06829268293,3184
3400.544,0.0518134715,2407
3420.096,0.049200492,1633
3331.36,0.04550379198,1654
3359.936,0.01177856302,1681
3379.488,0.06004618938,1718
3421.6,0.01187648456,1746
3362.944,0.05673758865,1769
3326.848,0.05217391304,1792
3426.112,0.09956076135,1823
3403.552,0.09436834094,1849
3588.544,0.1287128713,1882
3132.832,0.04287901991,1888
3325.344,0,1922
3188.48,0.06371681416,1946
3018.528,0.06677265501,1960
2905.728,0.1327160494,1981
2853.088,0.1303030303,2006
2871.136,0.1165644172,2032
2786.912,0.03814713896,2054
2902.72,0.05095541401,2084
2926.784,0.07960199005,2109
2982.432,0.08805031447,2139
3105.76,0.1148648649,2169
3173.44,0.08491620112,2201
3259.168,0.04076738609,2227
3296.768,0.09345794393,2257
3290.752,0.05734767025,2281
3426.112,0.04134929271,2315
3430.624,0.04935622318,2340
3484.768,0.06986899563,2367
3496.8,0.0303030303,2395
3477.248,0,2447
3593.056,0.01146788991,2445
3430.624,0.041013269,2475
3460.704,0.02195121951,2506
3481.76,0.6482982172,2534
6557.44,0.7184065934,1879
6382.976,0.7249521378,1899
6572.48,0.7540029112,1928
6602.56,0.7766570605,1957
6843.2,0.7084548105,1992
6889.824,0.7414916727,2020
6573.984,0.7618308766,2038
6373.952,0.768488746,2050
6444.64,0.7723823976,2078
6530.368,0.7885714286,2105
6528.864,0.7890499195,2133
6379.968,0.7631785995,2152
6401.024,0.7243697479,2178
6267.168,0.7411402157,2198
6288.224,0.728026534,2226
6422.08,0.6522821577,2257
6304.768,0.6628733997,2279
6009.984,0.6571642911,2290
6127.296,0.7228739003,2321
6121.28,0.6747536012,2347
