hls.latency,hls.accuracy,hls.throughput
1495,0.9333333333,11471.008
1499,0.9230769231,10961.152
1547,0.9398907104,11495.072
1635,0.9818181818,12940.416
1765,0.9333333333,15262.592
1742,0.9444444444,14121.056
1803,0.8672566372,14912.16
1711,0.8452380952,12278.656
1688,0.875502008,11189.76
1704,0.9510086455,10893.472
1685,0.96875,9960.992
1763,0.9716088328,11107.04
1866,0.9584487535,11998.912
1432,0.9262672811,12156.832
1191,0.9192825112,16565.056
1331,0.9637305699,19461.76
1296,0.9027237354,18007.392
1316,0.930875576,17888.576
1262,0.9164086687,16070.24
1126,0.9018404908,12370.4
1173,0.9090909091,12916.352
1182,0.8925619835,12462.144
1152,0.9153846154,11194.272
1222,0.8181818182,12194.432
1166,0.8811188811,10379.104
1346,0.9197860963,12599.008
1491,0.9411764706,16700.416
1468,0.9333333333,15584.448
1427,0.9702380952,14023.296
3002,0.975,25506.336
2557,0.9621212121,11696.608
2714,0.8820960699,12404.992
2899,0.8057553957,12823.104
2643,0.9230769231,16193.568
2234,0.932038835,12078.624
2277,0.9347826087,13970.656
2245,0.9115646259,12687.744
2265,0.9084507042,12597.504
2213,0.8510638298,10788.192
2190,0.9106382979,9741.408
2279,0.960960961,11260.448
2272,0.9792284866,10518.976
2280,0.9747292419,10227.2
2276,0.9012345679,9581.984
2322,0.9021276596,10063.264
2463,0.9485714286,12740.384
2585,0.9174311927,15077.6
2433,0.9261083744,11009.28
2497,0.9281045752,11967.328
2512,0.9132075472,11684.576
2503,0.8289473684,10980.704
2490,0.819047619,10076.8
2538,0.9618320611,10740.064
2709,0.873015873,13981.184
2768,0.9315068493,14871.552
2806,0.7438016529,15220.48
2645,0.8965517241,10989.728
2735,0.9221556886,12507.264
2680,0.9212121212,10583.648
2604,0.9789473684,8380.288
2643,0.9333333333,8672.064
2159,0.9230769231,11119.072
1812,0.9398907104,12062.08
1947,0.9818181818,14509.088
1842,0.9333333333,11559.744
1915,0.9444444444,12603.52
1938,0.8672566372,12621.568
2074,0.8452380952,15178.368
2080,0.875502008,14823.424
2059,0.9510086455,13704.448
2057,0.96875,13116.384
2008,0.9716088328,11540.192
2050,0.9584487535,11853.024
2077,0.9262672811,12027.488
2126,0.9192825112,12544.864
2197,0.9637305699,13704.448
2198,0.9027237354,13128.416
2228,0.930875576,13266.784
2211,0.9164086687,12379.424
2289,0.9018404908,13567.584
2322,0.9090909091,13724
2352,0.8925619835,13945.088
2272,0.9153846154,11607.872
2234,0.8181818182,9992.576
2259,0.8811188811,9422.56
2370,0.9197860963,12161.344
2484,0.9411764706,14149.632
2457,0.9333333333,13032.16
2381,0.9702380952,10564.096
2439,0.975,11471.008
2442,0.9621212121,10961.152
2490,0.8820960699,11495.072
2580,0.8057553957,12940.416
2703,0.9230769231,15262.592
2677,0.932038835,14121.056
2735,0.9347826087,14912.16
2646,0.9115646259,12278.656
2623,0.9084507042,11189.76
2636,0.8510638298,10893.472
2621,0.9106382979,9960.992
2691,0.960960961,11107.04
2758,0.9792284866,11998.912
2796,0.9747292419,12156.832
3005,0.9012345679,16565.056
3156,0.9021276596,19461.76
2981,0.9485714286,18007.392
2834,0.9174311927,17888.576
2709,0.9261083744,16070.24
2576,0.9281045752,12370.4
2628,0.9132075472,12916.352
2633,0.8289473684,12462.144
2603,0.819047619,11194.272
2673,0.9618320611,12194.432
2620,0.873015873,10379.104
2749,0.9315068493,12599.008
2947,0.7438016529,16700.416
2926,0.8965517241,15584.448
2883,0.9221556886,14023.296
3409,0.9212121212,25506.336
2964,0.9789473684,11696.608
3154,0.9333333333,12404.992
3325,0.9230769231,12823.104
3635,0.9398907104,16193.568
3609,0.9818181818,12078.624
3849,0.9333333333,13970.656
3441,0.9444444444,12687.744
3058,0.8672566372,12597.504
2525,0.8452380952,10788.192
2601,,9741.408
